utterance,intent,category,tags
assistance to remove an item,change_order,ORDER,B
I have forgotten to include several items in my order,change_order,ORDER,BM
help with changing the order I made,change_order,ORDER,B
assistance adding something,change_order,ORDER,B
I want assistance to change the last order,change_order,ORDER,B
can you help me to add some items?,change_order,ORDER,BIM
can you help me to remove something?,change_order,ORDER,BI
problem with changing several items of an order,change_order,ORDER,BM
I want help removing an item,change_order,ORDER,B
help to change the order I made,change_order,ORDER,B
I want assistance to change an order I made,change_order,ORDER,B
is it possible to change an order?,change_order,ORDER,BI
I need help with removing an item,change_order,ORDER,B
can you help me removing something?,change_order,ORDER,BI
I cannot add some items,change_order,ORDER,BEM
I need assistance with removing something from an order,change_order,ORDER,B
I have a question about changing the order I have made,change_order,ORDER,B
I want help to remove an item from an order,change_order,ORDER,B
is it possible to change an order I made?,change_order,ORDER,BI
I want information about changing an order,change_order,ORDER,B
help adding an item,change_order,ORDER,B
I don't know how to remove an item from an order,change_order,ORDER,B
can you help me to change an order I have made?,change_order,ORDER,BI
could you help me remove some items?,change_order,ORDER,BIMP
problem with adding an item,change_order,ORDER,B
I want assistance to remove several items from an order,change_order,ORDER,BM
is it possible to add some items to an order?,change_order,ORDER,BIM
change order,change_order,ORDER,BK
I want help changing an order I made,change_order,ORDER,B
could you help me to change the order I have made?,change_order,ORDER,BIP
I have got to change an order I made,change_order,ORDER,B
I don't know how I could remove several items from an order,change_order,ORDER,BMP
how to change the last order I have made?,change_order,ORDER,BI
how can I get information about changing orders?,change_order,ORDER,BIM
I have to add some items to an order,change_order,ORDER,BM
I cannot change my last order,change_order,ORDER,BE
help to change an item of an order,change_order,ORDER,B
I need to change the last order I have made,change_order,ORDER,B
I need information about orders,change_order,ORDER,BM
I can't add some items to an order,change_order,ORDER,BM
can you help me removing several items?,change_order,ORDER,BIM
assistance changing the last order I made,change_order,ORDER,B
I can't change an order,change_order,ORDER,B
help to change an order I have made,change_order,ORDER,B
I have got to remove several items from an order,change_order,ORDER,BM
help me changing something of an order,change_order,ORDER,B
how do I add several items to an order?,change_order,ORDER,BIM
could you help me change the order I have made?,change_order,ORDER,BIP
I want help to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I need to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I do not know how to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,BE
could you tell me more about changing my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP
need help trying to modify my shipping address,change_shipping_address,SHIPPING_ADDRESS,BLQ
could you tell me more about changing the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP
I have got to edit the address,change_shipping_address,SHIPPING_ADDRESS,BL
what do I need to do to correct the address?,change_shipping_address,SHIPPING_ADDRESS,BIL
would it be possible to change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP
change shipping address,change_shipping_address,SHIPPING_ADDRESS,BK
can you tell me about a shipping address change?,change_shipping_address,SHIPPING_ADDRESS,BI
issue changing shipping address,change_shipping_address,SHIPPING_ADDRESS,BK
I have to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
can uhelp me modify the address,change_shipping_address,SHIPPING_ADDRESS,BILQ
my address has changed help me changing it,change_shipping_address,SHIPPING_ADDRESS,BCLQ
I have an error correcting the shipping address,change_shipping_address,SHIPPING_ADDRESS,BL
I chose a wrong shipping address by mistake,change_shipping_address,SHIPPING_ADDRESS,B
I want to know more about changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I need assistance changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
i need asistance trying to edit my shipping address,change_shipping_address,SHIPPING_ADDRESS,BLQZ
I don't know what to do to edit the address,change_shipping_address,SHIPPING_ADDRESS,BL
I have an issue trying to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
can you tell me more about changing the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI
I chose a wrong shipping address,change_shipping_address,SHIPPING_ADDRESS,B
can you tell me more about a shipping address change?,change_shipping_address,SHIPPING_ADDRESS,BI
I have an error updating the damn shipping address,change_shipping_address,SHIPPING_ADDRESS,BLW
is it possible to change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI
how can I change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI
I do not know what to do to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,BE
I want assistance to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I don't know how to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I'm looking for information about changing my address,change_shipping_address,SHIPPING_ADDRESS,BELQ
help changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I have problems with a shipping address change,change_shipping_address,SHIPPING_ADDRESS,BM
I want to know more about updating the delivery addresxs,change_shipping_address,SHIPPING_ADDRESS,BLZ
I want to know about changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I need information about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B
can you give me information about a shipping address change?,change_shipping_address,SHIPPING_ADDRESS,BI
I don't know what to do to modify the delivery address,change_shipping_address,SHIPPING_ADDRESS,BL
I want help changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I would like to know about changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,BP
I want to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
give me information about editing the delivery address,change_shipping_address,SHIPPING_ADDRESS,BL
want support trying to edit the shipping address,change_shipping_address,SHIPPING_ADDRESS,BLQ
the shipping address changed,change_shipping_address,SHIPPING_ADDRESS,B
i have submitted a wrong delivery address can uupdatte it,change_shipping_address,SHIPPING_ADDRESS,BCILQZ
help me correcting the delivery address,change_shipping_address,SHIPPING_ADDRESS,BL
i want support updatng the address,change_shipping_address,SHIPPING_ADDRESS,BLQZ
how could I change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP
i havesubmitted a wrong delivery address how do i correct it,change_shipping_address,SHIPPING_ADDRESS,BCILQZ
tell me more about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B
I want to know more about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B
can you help me to change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI
i need assistance to update the delivery address,change_shipping_address,SHIPPING_ADDRESS,BLQ
I want information about changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I have got to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
is it possible to edit the delivery address?,change_shipping_address,SHIPPING_ADDRESS,BIL
can you help me changing the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI
I want information about changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I cannot update my delivery addrses,change_shipping_address,SHIPPING_ADDRESS,BELZ
assistance trying to correct my delivery address,change_shipping_address,SHIPPING_ADDRESS,BL
change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
what do i need to do to edit the address,change_shipping_address,SHIPPING_ADDRESS,BILQ
can you help me to change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI
I need information about changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I cannot correct the delivery address,change_shipping_address,SHIPPING_ADDRESS,BEL
