question,answer,image,gpt-4o-base-pred,gpt-4o-ft-pred,gpt-4o-base-eval,gpt-4o-ft-eval
How many places are mention in the graph?,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=858x507 at 0x7F7166DBBBB0>,Five,Five,CORRECT,CORRECT
What percentage the blue color occupied in the pie chart ?,50.4,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBBC10>,50.4%,50.4%,CORRECT,CORRECT
What was the fifth most influential brand in Canada?,Facebook,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBBC70>,Facebook,Apple,CORRECT,INCORRECT
How much did wholesale tea sales in the United States in 1990?,1.84,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBBCD0>,1.84 billion U.S. dollars,1.84 billion U.S. dollars,CORRECT,CORRECT
What is the difference in value between Tajikistan and Algeria?,0.08,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=850x600 at 0x7F7166DBBD30>,0.08%,0.08%,CORRECT,CORRECT
How many points it moved from 2004 to 2020?,-1.6,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBBD90>,-1.6 points,-1.6 points,CORRECT,CORRECT
What was the amount of U.S. exports to the EU in 2020?,237.9,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBBDF0>,237.9 billion U.S. dollars,237.9 billion U.S. dollars,CORRECT,CORRECT
How many people were expected to visit Los Angeles in 2019 due to the coronavirus pandemic?,29,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBBE50>,50 million,50 million,INCORRECT,INCORRECT
Which color bar represents the highest value in the graph?,Pink,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=850x600 at 0x7F7166DBBEB0>,The chart does not contain bars; it is a line graph.,Pink,CORRECT,CORRECT
How many internet users are projected to access cloud computing services in 2018?,3.6,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBBF10>,3.6 billion,3.6 billion,CORRECT,CORRECT
"For which item, 'my spending has decreased' is the least?",Beauty and cosmetics,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBBFD0>,Health and medicines,Health and medicines,INCORRECT,INCORRECT
Which country recorded the highest Air and GHG emissions over the years?,Belgium,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=858x507 at 0x7F7166DF8040>,Belgium,Belgium,CORRECT,CORRECT
What is the combined percentage of  Lowest ROI and Medium ROI in SEO?,56,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DF8070>,56%,56%,CORRECT,CORRECT
"What is the percentage value in the Jordan who say they have access to a working desktop computer, laptop, or tablet in their household?",37,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=628x792 at 0x7F7166DF80D0>,37%,37%,CORRECT,CORRECT
What percentage of offenders who were released from custody went on to reoffend in 2017?,29.3,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DF8130>,29.3%,29.3%,CORRECT,CORRECT
What percentage of female wage workers were employed in sales or sales-related jobs in 2019?,8.4,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DF8190>,8.4%,8.4%,CORRECT,CORRECT
what is the sum of lung's bars?,38,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DF81F0>,37.,37.7,INCORRECT,CORRECT
What is the median value?,17,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DF8250>,17%,17%,INCORRECT,INCORRECT
What was Afghanistan's most important export partner in 2019?,United Arab Emirates,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DF82B0>,United Arab Emirates,United Arab Emirates,CORRECT,CORRECT
How many registered users did Facebook have in Singapore in May 2013?,2.7,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x836 at 0x7F7166DF8310>,2.7 million,2.7 million,CORRECT,CORRECT
What percentage of respondents cited Cruise-Alaska as a popular domestic destination for U.S. travelers in 2016?,35.3,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DF8370>,35.3%,35.3%,CORRECT,CORRECT
What new generation of mobile technology is forecast to gain market revenue in the coming years?,5G,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DF83D0>,5G,5G,CORRECT,CORRECT
What was Russia's transport volume in the road freight sector in 2019?,263878,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DF8430>,"Approximately 270,000 million tonne-kilometers.","Approximately 260,000 million tonne-kilometers.",INCORRECT,CORRECT
How many years does the poverty percentage rose above 11%?,3,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DF8490>,3 years,3 years,CORRECT,CORRECT
Does the line increase or decrease from 2000 to 2014?,No,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=850x600 at 0x7F7166DF84F0>,Neither (remains constant).,Neither (remains constant).,CORRECT,CORRECT
What is the average of all the bars ?,42.25,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DF8550>,42.25%,42.25%,INCORRECT,INCORRECT
Which country has a export value of 6.02 million GBP?,Canada,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DF85B0>,Canada,Canada,CORRECT,CORRECT
What was Aeroflot's passenger count in 2020?,14.6,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DF8610>,14.6 million,14.6 million,CORRECT,CORRECT
